Xindex, Description, Lowerbound, Upperbound, ScaleFactor, Value
10,j0p0MGALT: step 9 control magnitude,0,1,1.00000002937
11,j0p0MGALT: step 10 control magnitude,0,1,1.000000090441
12,j0p0MGALT: step 11 control magnitude,0,1,1.000000215578
13,j0p0MGALT: step 12 control magnitude,0,1,1.000000322786
14,j0p0MGALT: step 13 control magnitude,0,1,1.000000613319
15,j0p0MGALT: step 14 control magnitude,0,1,1.000001010808
16,j0p0MGALT: step 15 control magnitude,0,1,0.001992537776526
17,j0p0MGALT: step 16 control magnitude,0,1,1.000001512666
18,j0p0MGALT: step 17 control magnitude,0,1,1.000001017408
19,j0p0MGALT: step 18 control magnitude,0,1,1.000000479943
20,j0p0MGALT: step 19 control magnitude,0,1,1.000000774462
21,j0p0MGALT: match point x,-1e-13,1e-13,-1.775821174088e-06
22,j0p0MGALT: match point y,-1e-13,1e-13,-1.675532575565e-08
23,j0p0MGALT: match point z,-1e-13,1e-13,3.002100071488e-07
24,j0p0MGALT: match point xdot,-1e-13,1e-13,-5.620006224454e-07
25,j0p0MGALT: match point ydot,-1e-13,1e-13,-1.994092169167e-06
26,j0p0MGALT: match point zdot,-1e-13,1e-13,-8.538188214703e-07
27,j0p0MGALT: match point mass,-1e-13,1e-13,2.831200217224e-06
28,j0p0MGALT: match point virtual chemical fuel,-1e-13,1e-13,0
29,j0p0MGALT: match point virtual electric propellant,-1e-13,1e-13,-2.815497001254e-06
30,j1p0MGALTEphemerisPeggedFreeDirectDeparture: left mass continuity constraint,-1e-13,1e-13,9.999894245993e-14
31,j1p0MGALTEphemerisPeggedIntercept: V_infinity_in magnitude,-6,0,2.190127745827e-06
32,j1p0MGALT: step 0 control magnitude,0,1,1.00000308774
33,j1p0MGALT: step 1 control magnitude,0,1,1.000002641239
34,j1p0MGALT: step 2 control magnitude,0,1,1.000002157511
35,j1p0MGALT: step 3 control magnitude,0,1,1.000001661157
36,j1p0MGALT: step 4 control magnitude,0,1,1.000000990407
37,j1p0MGALT: step 5 control magnitude,0,1,1.000000496744
38,j1p0MGALT: step 6 control magnitude,0,1,1.000000519459
39,j1p0MGALT: step 7 control magnitude,0,1,1.000001194584
40,j1p0MGALT: step 8 control magnitude,0,1,1.000002235594
41,j1p0MGALT: step 9 control magnitude,0,1,1.00000347063
42,j1p0MGALT: step 10 control magnitude,0,1,1.000004762373
43,j1p0MGALT: step 11 control magnitude,0,1,1.000006092914
44,j1p0MGALT: step 12 control magnitude,0,1,0.001433482962506
45,j1p0MGALT: step 13 control magnitude,0,1,0.004328509770461
46,j1p0MGALT: step 14 control magnitude,0,1,0.02286525090153
47,j1p0MGALT: step 15 control magnitude,0,1,1.000005472151
48,j1p0MGALT: step 16 control magnitude,0,1,1.00000525012
49,j1p0MGALT: step 17 control magnitude,0,1,1.000005254277
50,j1p0MGALT: step 18 control magnitude,0,1,1.000004161527
51,j1p0MGALT: step 19 control magnitude,0,1,1.000002884843
52,j1p0MGALT: match point x,-1e-13,1e-13,-2.453364285908e-07
53,j1p0MGALT: match point y,-1e-13,1e-13,1.489922719322e-06
54,j1p0MGALT: match point z,-1e-13,1e-13,8.112013334047e-07
55,j1p0MGALT: match point xdot,-1e-13,1e-13,-1.295924105039e-06
56,j1p0MGALT: match point ydot,-1e-13,1e-13,-4.375291819022e-07
57,j1p0MGALT: match point zdot,-1e-13,1e-13,-5.62286805111e-08
58,j1p0MGALT: match point mass,-1e-13,1e-13,9.61186651316e-06
59,j1p0MGALT: match point virtual chemical fuel,-1e-13,1e-13,9.999999993923e-14
60,j1p0MGALT: match point virtual electric propellant,-1e-13,1e-13,-9.611866327097e-06
61,Mission flight time bounds,0,1,0.9889328021731
